dominio_id,ambito_id,concetto_id,desc_id
d_3,a_3,c_373,d_3-a_3-c_373
d_3,a_3,c_481,d_3-a_3-c_481
d_3,a_3,c_374,d_3-a_3-c_374
d_3,a_3,c_482,d_3-a_3-c_482
d_5,a_6,c_15,d_5-a_6-c_15
d_3,a_3,c_483,d_3-a_3-c_483
d_3,a_3,c_486,d_3-a_3-c_486
d_3,a_3,c_372,d_3-a_3-c_372
d_3,a_3,c_487,d_3-a_3-c_487
d_3,a_3,c_488,d_3-a_3-c_488
d_3,a_3,c_484,d_3-a_3-c_484
d_3,a_3,c_485,d_3-a_3-c_485
d_3,a_3,c_489,d_3-a_3-c_489
d_3,a_3,c_490,d_3-a_3-c_490
d_5,a_6,c_18,d_5-a_6-c_18
d_3,a_3,c_491,d_3-a_3-c_491
d_3,a_3,c_492,d_3-a_3-c_492
d_3,a_3,c_493,d_3-a_3-c_493
d_3,a_3,c_494,d_3-a_3-c_494
d_10,a_36,c_291,d_10-a_36-c_291
d_5,a_5,c_12,d_5-a_5-c_12
d_5,a_14,c_12,d_5-a_14-c_12
d_11,a_18,c_86,d_11-a_18-c_86
d_5,a_14,c_573,d_5-a_14-c_573
d_7,a_10,c_45,d_7-a_10-c_45
d_6,a_9,c_240,d_6-a_9-c_240
d_6,a_35,c_240,d_6-a_35-c_240
d_12,a_29,c_632,d_12-a_29-c_632
d_6,a_32,c_378,d_6-a_32-c_378
d_11,a_39,c_400,d_11-a_39-c_400
d_6,a_9,c_622,d_6-a_9-c_622
d_2,a_2,c_179,d_2-a_2-c_179
d_2,a_2,c_501,d_2-a_2-c_501
d_6,a_32,c_255,d_6-a_32-c_255
d_7,a_10,c_169,d_7-a_10-c_169
d_9,a_12,c_63,d_9-a_12-c_63
d_12,a_29,c_474,d_12-a_29-c_474
d_6,a_35,c_242,d_6-a_35-c_242
d_1,a_8,c_122,d_1-a_8-c_122
d_6,a_16,c_122,d_6-a_16-c_122
d_1,a_8,c_377,d_1-a_8-c_377
d_6,a_16,c_377,d_6-a_16-c_377
d_1,a_8,c_376,d_1-a_8-c_376
d_6,a_16,c_376,d_6-a_16-c_376
d_6,a_32,c_558,d_6-a_32-c_558
d_6,a_32,c_562,d_6-a_32-c_562
d_6,a_32,c_387,d_6-a_32-c_387
d_6,a_32,c_557,d_6-a_32-c_557
d_3,a_13,c_36,d_3-a_13-c_36
d_7,a_10,c_40,d_7-a_10-c_40
d_11,a_18,c_39,d_11-a_18-c_39
d_3,a_13,c_39,d_3-a_13-c_39
d_11,a_30,c_150,d_11-a_30-c_150
d_10,a_37,c_320,d_10-a_37-c_320
d_2,a_21,c_578,d_2-a_21-c_578
d_2,a_26,c_583,d_2-a_26-c_583
d_6,a_17,c_138,d_6-a_17-c_138
d_6,a_33,c_206,d_6-a_33-c_206
d_7,a_10,c_247,d_7-a_10-c_247
d_7,a_10,c_23,d_7-a_10-c_23
d_4,a_4,c_268,d_4-a_4-c_268
d_8,a_31,c_158,d_8-a_31-c_158
d_10,a_20,c_76,d_10-a_20-c_76
d_8,a_31,c_375,d_8-a_31-c_375
d_4,a_4,c_301,d_4-a_4-c_301
d_5,a_14,c_301,d_5-a_14-c_301
d_5,a_5,c_544,d_5-a_5-c_544
d_5,a_5,c_547,d_5-a_5-c_547
d_5,a_5,c_549,d_5-a_5-c_549
d_5,a_5,c_539,d_5-a_5-c_539
d_5,a_5,c_541,d_5-a_5-c_541
d_5,a_5,c_542,d_5-a_5-c_542
d_10,a_37,c_314,d_10-a_37-c_314
d_7,a_10,c_51,d_7-a_10-c_51
d_10,a_20,c_75,d_10-a_20-c_75
d_9,a_12,c_96,d_9-a_12-c_96
d_3,a_24,c_448,d_3-a_24-c_448
d_4,a_4,c_629,d_4-a_4-c_629
d_2,a_26,c_117,d_2-a_26-c_117
d_3,a_13,c_38,d_3-a_13-c_38
d_6,a_17,c_140,d_6-a_17-c_140
d_2,a_26,c_116,d_2-a_26-c_116
d_6,a_17,c_227,d_6-a_17-c_227
d_6,a_33,c_211,d_6-a_33-c_211
d_10,a_20,c_74,d_10-a_20-c_74
d_10,a_20,c_355,d_10-a_20-c_355
d_6,a_17,c_228,d_6-a_17-c_228
d_6,a_9,c_421,d_6-a_9-c_421
d_1,a_8,c_645,d_1-a_8-c_645
d_10,a_20,c_77,d_10-a_20-c_77
d_12,a_27,c_129,d_12-a_27-c_129
d_6,a_17,c_587,d_6-a_17-c_587
d_2,a_2,c_176,d_2-a_2-c_176
d_2,a_2,c_605,d_2-a_2-c_605
d_5,a_6,c_17,d_5-a_6-c_17
d_4,a_4,c_646,d_4-a_4-c_646
d_10,a_19,c_534,d_10-a_19-c_534
d_10,a_19,c_277,d_10-a_19-c_277
d_10,a_19,c_68,d_10-a_19-c_68
d_6,a_9,c_344,d_6-a_9-c_344
d_6,a_9,c_414,d_6-a_9-c_414
d_6,a_9,c_413,d_6-a_9-c_413
d_12,a_27,c_306,d_12-a_27-c_306
d_6,a_9,c_417,d_6-a_9-c_417
d_6,a_17,c_226,d_6-a_17-c_226
d_10,a_19,c_65,d_10-a_19-c_65
d_10,a_20,c_82,d_10-a_20-c_82
d_10,a_36,c_273,d_10-a_36-c_273
d_4,a_4,c_361,d_4-a_4-c_361
d_8,a_11,c_25,d_8-a_11-c_25
d_6,a_32,c_511,d_6-a_32-c_511
d_10,a_15,c_56,d_10-a_15-c_56
d_6,a_32,c_512,d_6-a_32-c_512
d_10,a_15,c_55,d_10-a_15-c_55
